Name,Postal Code,Kind of build,Year of build
Jan Wolkerssingel 151,3541,Bestaande bouw,2017
Iepstraat 39,3434,Bestaande bouw,1972
Eufraatlaan 1,1448,Bestaande bouw,1998
Gerrit Peuscherstraat 393,7558,Bestaande bouw,1976
de Pas 50,7273,Bestaande bouw,1986
Cella Gallia 2,3995,Bestaande bouw,2017
Rogier van der Weydenlaan 19,3723,Bestaande bouw,1976
Gerard Douweg 26,6562,Bestaande bouw,1962
Sikkelstraat 68,2151,Bestaande bouw,1977
Paul Abrahamstraat 2,3543,Bestaande bouw,2004
Zalmsteek 24,3192,Bestaande bouw,1972
Kaaspers 50,1687,Bestaande bouw,2016
A. Pouwerstraat 6,4333,Bestaande bouw,1999
Vosmaerlaan 52,1215,Bestaande bouw,1998
Esdoornpark 24,6642,Bestaande bouw,1997
Geraniumstraat 38,7419,Bestaande bouw,1952
Campinasdreef 26,3563,Bestaande bouw,2018
Weteringkade 165,3826,Bestaande bouw,2006
Boeg 62,3961,Bestaande bouw,1987
Bellemeerstraat 17,2493,Bestaande bouw,2010
Hendrik Burgerstraat 17,1942,Bestaande bouw,1933
Het Spul 5,3832,Bestaande bouw,2010
Weidedreef 116,3947,Bestaande bouw,1978
Oude Nijkerkerweg 2 a,3882,Bestaande bouw,1990
Achterweg ZZ 8,3216,Bestaande bouw,1980
Menagerie 31,2286,Bestaande bouw,2017
Lien Gisolfland 48,1705,Bestaande bouw,2001
Sportlaan 19,8934,Bestaande bouw,1931-1944
Figarolaan 55,3438,Bestaande bouw,1981
Geelgors 26,5492,Bestaande bouw,2001
Bovenlanden 11,9697,Bestaande bouw,1998
Van Lippe Biesterfeldstraat 8,3523,Bestaande bouw,1919
Nicolaashof 6,5801,Bestaande bouw,1993
John R. Towlestraat 23,6678,Bestaande bouw,2019
Novemberstraat 7,1335,Bestaande bouw,1999
Kempersdijk 51,7161,Bestaande bouw,1985
Fonteinstraat 5,7631,Bestaande bouw,1973
Parksingel 97,8256,Bestaande bouw,1995
Esdoorn 5,2211,Bestaande bouw,1991
Van Reenenweg 4,3702,Bestaande bouw,1953
Schaverenseveldweg 6,8166,Bestaande bouw,1935
Aburahout 20,2719,Bestaande bouw,1997
Birkholm 248,2133,Bestaande bouw,1979
Van Kinschotlaan 11,1814,Bestaande bouw,1983
Wolvespoor 16,5343,Bestaande bouw,1975
